Material Description,Material Price,Vendor,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.86,ebarnett,https://www.ebarnett.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/08/2022 18:35:30
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.6,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/08/2022 18:35:30
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/08/2022 18:35:30
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/08/2022 18:35:30
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/08/2022 18:35:30
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/08/2022 18:35:30
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/08/2022 18:35:30
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/08/2022 18:35:30
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/08/2022 18:35:30
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/08/2022 18:35:30
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,ebay,https://www.ebay.com/itm/373786770182,11/08/2022 18:35:30
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/08/2022 18:35:30
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,ebay,https://www.ebay.com/b/12-3-Romex/92078/bn_7023293830,11/08/2022 18:35:30
500 ft. 4 Gauge Black Stranded Copper THHN Wire,614.28,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/08/2022 18:35:30
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/08/2022 18:35:30
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/08/2022 18:35:30
