product_id,material_description
100400409,1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit
100400406,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit
100137321,1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit
100400405,1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack)
202241090,3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack)
100144234,1 in. Electric Metallic Tube (EMT) Set-Screw Coupling
202077145,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack)
202077147,3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack)
202288508,1 in. Electrical Metallic Tube (EMT) Set-Screw Connector
202304774,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire
202304649,250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire
202304645,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire
202019377,250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire
202316275,500 ft. 4 Gauge Black Stranded Copper THHN Wire
202019375,500 ft. 6 Gauge Black Stranded Copper THHN Wire
202316276,500 ft. 10 Gauge Black Stranded Copper THHN Wire
