Materials Description,Product id,Material Price,Vendor Location,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.86,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/02/2022 15:48:44
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.12,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/02/2022 15:48:44
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,17.55,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/02/2022 15:48:44
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,2.1,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/02/2022 15:48:44
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/02/2022 15:48:44
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/02/2022 15:48:44
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.1,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/02/2022 15:48:44
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,4.6,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/02/2022 15:48:44
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.6,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,11/02/2022 15:48:44
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/02/2022 15:48:44
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,158.0,ebay,https://www.ebay.com/itm/203704802084,11/02/2022 15:48:44
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/02/2022 15:48:44
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,339.09,qcsupply,https://www.qcsupply.com/12-3-romex-simpull-wire-250ft.html,11/02/2022 15:48:44
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,64.99,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/02/2022 15:48:44
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,120.61,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/02/2022 15:48:44
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,145.0,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/02/2022 15:48:44
